epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,5093.34,0.89052,1.05903,0.4791,0.88523,0.96488,0.94861,0.97031,0.73373,0.95069,0.92093,0.94987,0.55676,0.83129,1.01685,0.42145,0.88753,0.007129,0.007129,0.007129
31,5262.68,0.88665,1.05108,0.47447,0.88474,0.96447,0.94974,0.97153,0.73819,0.94732,0.91909,0.94789,0.55563,0.82937,1.01437,0.41908,0.88752,0.00703,0.00703,0.00703
32,5432.08,0.88798,1.04859,0.47561,0.88493,0.96438,0.94873,0.97263,0.73723,0.94274,0.92248,0.94673,0.56222,0.8287,1.01494,0.41737,0.88605,0.006931,0.006931,0.006931
33,5601.27,0.87827,1.04345,0.4741,0.88258,0.96438,0.95114,0.97362,0.7391,0.94663,0.92131,0.95203,0.56612,0.82717,1.01193,0.41607,0.88719,0.006832,0.006832,0.006832
34,5771.27,0.87557,1.0372,0.46847,0.88264,0.96297,0.95536,0.97535,0.73998,0.93769,0.92616,0.94913,0.56436,0.82613,1.01406,0.41228,0.88606,0.006733,0.006733,0.006733
35,5940.56,0.87322,1.038,0.46535,0.88276,0.96247,0.95188,0.97377,0.7408,0.94462,0.92007,0.94843,0.56557,0.82367,1.00899,0.41112,0.8864,0.006634,0.006634,0.006634
36,6110.26,0.87251,1.03468,0.46524,0.88182,0.96569,0.95228,0.97413,0.74301,0.94864,0.92079,0.94793,0.569,0.82017,1.00482,0.41026,0.8851,0.006535,0.006535,0.006535
37,6279.86,0.86766,1.02554,0.46231,0.87974,0.96703,0.94981,0.97316,0.74319,0.94544,0.92043,0.94882,0.56606,0.81744,1.00035,0.40809,0.88553,0.006436,0.006436,0.006436
38,6449.58,0.86451,1.02807,0.45958,0.87928,0.96662,0.95181,0.97278,0.74216,0.94817,0.91847,0.94915,0.56684,0.81716,0.9986,0.40723,0.88547,0.006337,0.006337,0.006337
39,6617.83,0.86164,1.02714,0.45805,0.87856,0.96872,0.94929,0.9733,0.74475,0.94829,0.9196,0.94967,0.56654,0.81433,0.99546,0.40459,0.88432,0.006238,0.006238,0.006238
40,6787.15,0.85868,1.02635,0.45696,0.8773,0.96741,0.9514,0.97421,0.74605,0.94549,0.92067,0.94931,0.56829,0.81294,0.99457,0.4043,0.88392,0.006139,0.006139,0.006139
41,6956.06,0.85913,1.01942,0.45437,0.87884,0.96773,0.95124,0.97372,0.7468,0.94579,0.92176,0.95004,0.56905,0.81349,0.99219,0.40268,0.88419,0.00604,0.00604,0.00604
42,7125.53,0.8507,1.01735,0.45302,0.87598,0.968,0.95259,0.97381,0.74562,0.94726,0.92135,0.94916,0.56895,0.8125,0.99238,0.40136,0.88333,0.005941,0.005941,0.005941
43,7294.69,0.85472,1.01624,0.45151,0.87572,0.96803,0.95395,0.97345,0.74578,0.94508,0.91999,0.94934,0.56979,0.81177,0.99202,0.40136,0.88245,0.005842,0.005842,0.005842
44,7463.7,0.85142,1.01054,0.4509,0.87571,0.96814,0.95273,0.97351,0.74576,0.94623,0.92035,0.95088,0.56811,0.81092,0.99277,0.40187,0.88233,0.005743,0.005743,0.005743
45,7632.91,0.85294,1.01604,0.4487,0.87432,0.96867,0.95292,0.97417,0.74542,0.94924,0.91937,0.95082,0.56814,0.81037,0.99212,0.40136,0.88209,0.005644,0.005644,0.005644
46,7802.23,0.84622,1.00495,0.44545,0.87426,0.96829,0.95379,0.97424,0.74449,0.94618,0.91972,0.94852,0.56712,0.8104,0.9932,0.40159,0.88177,0.005545,0.005545,0.005545
47,7971.57,0.8432,1.00653,0.44258,0.87389,0.96731,0.95266,0.97389,0.74529,0.94957,0.9198,0.95009,0.5668,0.8102,0.99361,0.4016,0.88176,0.005446,0.005446,0.005446
48,8140.46,0.83896,0.9957,0.4425,0.87202,0.96734,0.95273,0.97362,0.74596,0.94875,0.91993,0.95022,0.5667,0.8111,0.99392,0.40113,0.88233,0.005347,0.005347,0.005347
49,8307.99,0.83832,0.99349,0.44154,0.87194,0.96641,0.95246,0.97352,0.74631,0.94731,0.92066,0.94929,0.56713,0.81057,0.99303,0.40032,0.88236,0.005248,0.005248,0.005248
50,8477.49,0.83642,0.99787,0.43994,0.87115,0.96716,0.95132,0.97388,0.74705,0.94762,0.9212,0.94979,0.5677,0.80969,0.99206,0.39999,0.8821,0.005149,0.005149,0.005149
51,8647.04,0.83369,0.99347,0.43694,0.87156,0.96785,0.95084,0.97406,0.7465,0.94453,0.92046,0.94905,0.56797,0.80933,0.9921,0.40057,0.88195,0.00505,0.00505,0.00505
52,8815.75,0.83033,0.99316,0.43559,0.86885,0.96842,0.94967,0.97406,0.74721,0.94552,0.92032,0.94943,0.56866,0.80955,0.99139,0.39952,0.88243,0.004951,0.004951,0.004951
53,8985.31,0.83082,0.98793,0.43309,0.86977,0.96747,0.95006,0.97374,0.74802,0.94421,0.92085,0.94912,0.56926,0.80917,0.99038,0.399,0.88251,0.004852,0.004852,0.004852
54,9155.42,0.82577,0.98046,0.4325,0.86932,0.96728,0.9504,0.97407,0.74862,0.94454,0.92098,0.94873,0.56959,0.80933,0.9895,0.39845,0.88257,0.004753,0.004753,0.004753
55,9324.5,0.82505,0.98485,0.43113,0.86837,0.96628,0.95114,0.97389,0.74881,0.94441,0.91905,0.94816,0.56983,0.80874,0.98862,0.39765,0.88248,0.004654,0.004654,0.004654
56,9493.43,0.82287,0.97981,0.42953,0.86788,0.96643,0.95088,0.97402,0.74939,0.94631,0.92011,0.94898,0.57079,0.80833,0.98814,0.39753,0.88241,0.004555,0.004555,0.004555
57,9662.32,0.82189,0.97872,0.42817,0.86791,0.96551,0.95202,0.97394,0.7491,0.94519,0.91997,0.94858,0.57055,0.80767,0.98761,0.39737,0.88238,0.004456,0.004456,0.004456
58,9831.42,0.81946,0.98036,0.42645,0.86616,0.96336,0.95341,0.97386,0.7491,0.94467,0.91995,0.94871,0.57072,0.80753,0.98698,0.39724,0.88245,0.004357,0.004357,0.004357
59,10001.3,0.81249,0.97122,0.42306,0.86388,0.96349,0.95385,0.97394,0.74919,0.94409,0.91885,0.94802,0.5712,0.80724,0.98633,0.39632,0.8824,0.004258,0.004258,0.004258
60,10170.9,0.81429,0.97382,0.42148,0.86548,0.9665,0.95141,0.97435,0.7493,0.94022,0.92341,0.94853,0.57166,0.80677,0.98581,0.39573,0.88248,0.004159,0.004159,0.004159
61,10340.7,0.81227,0.97255,0.42063,0.86535,0.96647,0.95099,0.97419,0.74933,0.9438,0.92222,0.9491,0.57201,0.80662,0.98551,0.39529,0.88239,0.00406,0.00406,0.00406
62,10510.6,0.80734,0.96919,0.41733,0.86487,0.96542,0.95172,0.9742,0.74961,0.94458,0.9214,0.94901,0.57176,0.80607,0.98535,0.39489,0.88231,0.003961,0.003961,0.003961
63,10679.6,0.80833,0.97205,0.41811,0.86482,0.96248,0.95456,0.97445,0.74995,0.94415,0.92116,0.94827,0.57156,0.80585,0.98497,0.39492,0.88229,0.003862,0.003862,0.003862
64,10848.2,0.80386,0.96029,0.41521,0.86271,0.96543,0.95074,0.97429,0.74993,0.9442,0.92134,0.94828,0.57171,0.80595,0.98461,0.39425,0.88233,0.003763,0.003763,0.003763
65,11018.1,0.79846,0.95804,0.41425,0.86176,0.96317,0.95516,0.97436,0.75023,0.94359,0.92165,0.94799,0.57195,0.80508,0.98434,0.39389,0.88205,0.003664,0.003664,0.003664
66,11187.7,0.80139,0.95969,0.41332,0.86355,0.96529,0.95272,0.97449,0.75014,0.94386,0.92135,0.94788,0.57274,0.80531,0.98392,0.39355,0.88208,0.003565,0.003565,0.003565
67,11358.4,0.79684,0.95389,0.40936,0.86112,0.96549,0.95286,0.97458,0.75075,0.94391,0.92184,0.94882,0.57212,0.80501,0.98362,0.39322,0.88216,0.003466,0.003466,0.003466
68,11527.3,0.79733,0.95306,0.40999,0.86096,0.96552,0.95322,0.97444,0.75039,0.94357,0.92187,0.94869,0.57201,0.80483,0.98318,0.39261,0.88224,0.003367,0.003367,0.003367
69,11696.8,0.79193,0.94939,0.406,0.86012,0.96455,0.95385,0.97458,0.75094,0.94574,0.92021,0.94915,0.57196,0.80479,0.98292,0.39235,0.88222,0.003268,0.003268,0.003268
70,11866.2,0.78877,0.94397,0.40543,0.86027,0.96415,0.95407,0.97459,0.75122,0.94536,0.91995,0.94897,0.57222,0.80481,0.98255,0.39241,0.88222,0.003169,0.003169,0.003169
71,12035.3,0.78819,0.94781,0.404,0.86024,0.96405,0.95438,0.97458,0.75141,0.94524,0.9202,0.9491,0.57315,0.80476,0.98233,0.3919,0.88224,0.00307,0.00307,0.00307
72,12203.1,0.78509,0.94269,0.40106,0.85803,0.96439,0.95426,0.97455,0.7518,0.94464,0.92105,0.94885,0.57238,0.80468,0.98198,0.39179,0.88211,0.002971,0.002971,0.002971
73,12373.1,0.78275,0.94001,0.40218,0.85885,0.96342,0.95496,0.97431,0.75203,0.94426,0.92065,0.94846,0.57233,0.80424,0.98172,0.39162,0.88229,0.002872,0.002872,0.002872
74,12542.3,0.78249,0.93765,0.39934,0.85763,0.96358,0.95418,0.97437,0.75215,0.9453,0.92037,0.94902,0.5725,0.80453,0.98137,0.3911,0.88213,0.002773,0.002773,0.002773
75,12711.8,0.78009,0.93523,0.39702,0.85847,0.96377,0.95465,0.97421,0.75204,0.94533,0.92069,0.94859,0.57221,0.80447,0.98116,0.39102,0.88203,0.002674,0.002674,0.002674
76,12880.4,0.77616,0.92954,0.3969,0.85587,0.96383,0.9551,0.97438,0.75152,0.94565,0.92089,0.94867,0.57262,0.8046,0.98099,0.3908,0.88208,0.002575,0.002575,0.002575
77,13049.3,0.77581,0.92925,0.39412,0.8582,0.96398,0.95507,0.97438,0.75169,0.94563,0.92064,0.9488,0.57285,0.8046,0.98056,0.39062,0.88201,0.002476,0.002476,0.002476
78,13218.1,0.76948,0.92578,0.39162,0.85566,0.96434,0.95502,0.97413,0.75167,0.94498,0.92152,0.94861,0.57367,0.80456,0.98033,0.39002,0.88194,0.002377,0.002377,0.002377
79,13387.1,0.76726,0.92649,0.39038,0.85567,0.96538,0.9545,0.97424,0.75175,0.94582,0.92251,0.94835,0.5736,0.80412,0.98016,0.39016,0.88181,0.002278,0.002278,0.002278
